# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = code_4_model
# start_datetime = 2023-03-21 23:39:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 6000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4838
# output
#   file = C:\Users\micha\Data_Analytics\Lab2\samples\code_4-20230322003950_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.375456
# Diagonal elements of inverse mass matrix:
# 0.518615
-0.843481,0.998824,0.375456,2,5,0,0.910315,0.558164
-1.05013,0.799043,0.375456,2,5,1,1.06787,0.793964
-1.12182,0.999651,0.375456,2,3,0,1.12908,0.869484
-1.65996,0.997788,0.375456,3,7,0,1.66384,1.39447
-1.97705,0.874345,0.375456,3,8,1,2.40925,1.68613
-3.78966,0.831981,0.375456,2,6,1,4.88489,3.2686
-3.26284,0.99998,0.375456,2,5,0,3.92332,2.81744
-4.27211,0.888698,0.375456,3,9,1,4.28465,3.67817
-0.940185,0.999965,0.375456,3,11,0,2.37615,0.0265725
-0.70341,1,0.375456,1,1,0,0.800223,0.0978364
-0.70341,0,0.375456,0,1,1,0.92146,0.0978364
-0.838547,0.863159,0.375456,1,1,0,0.921922,0.043406
-0.762334,1,0.375456,1,1,0,0.853566,0.0658786
-0.762334,0,0.375456,0,1,1,1.08522,0.0658786
-0.847084,0.857165,0.375456,2,5,0,1.12265,0.562646
-0.729853,0.666667,0.375456,1,3,1,0.962198,0.401247
-0.729853,0,0.375456,0,1,1,9.39555,0.401247
-0.674217,0.98362,0.375456,1,3,0,0.773289,0.295675
-0.65512,0.999629,0.375456,2,5,0,0.681676,0.171731
-0.676373,0.985206,0.375456,2,5,0,0.765028,0.300908
-0.676373,0,0.375456,0,1,1,1.82034,0.300908
-1.17981,0.73643,0.375456,2,4,1,1.26007,0.929149
-0.815139,0.75,0.375456,2,4,1,1.29668,0.522152
-0.799642,1,0.375456,1,1,0,0.815287,0.501804
-0.803088,0.999938,0.375456,1,1,0,0.80673,0.506375
-0.816668,0.999922,0.375456,2,3,0,0.817422,0.524132
-0.730186,0.999416,0.375456,1,3,0,0.874578,0.401778
-1.02409,0.746512,0.375456,2,4,1,1.1185,0.765938
-1.04369,0.99958,0.375456,3,7,0,1.16887,0.787061
-1.53114,0.746108,0.375456,2,4,1,2.90164,1.27322
-0.652401,0.75,0.375456,2,4,1,1.88002,0.196388
-0.652401,0,0.375456,0,1,1,1.05577,0.196388
