# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = code_5_model
# start_datetime = 2023-03-21 23:45:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 6000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4838282
# output
#   file = C:\Users\micha\Data_Analytics\Lab2\samples\code_5-20230322004541_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.935809
# Diagonal elements of inverse mass matrix:
# 0.923734
-1.27843,0.9966,0.935809,1,3,0,1.27849,0.8016
-1.26156,1,0.935809,1,1,0,1.27504,0.870089
-2.41583,0.453089,0.935809,2,3,0,3.31019,0.171917
-2.21453,1,0.935809,1,1,0,2.43586,0.20974
-1.52542,0.922281,0.935809,1,3,0,2.24848,0.47419
-2.25711,0.889022,0.935809,2,3,0,2.30874,2.85463
-1.38925,0.882547,0.935809,1,3,0,2.53,0.599139
-1.25033,0.99784,0.935809,2,3,0,1.40528,0.977142
-1.41615,0.964716,0.935809,1,3,0,1.48061,0.568936
-3.9804,0.68265,0.935809,2,7,0,4.0559,0.0432361
-2.52707,0.668916,0.935809,1,3,0,4.31637,0.154574
-3.10275,0.961471,0.935809,2,3,0,4.07054,0.0915718
-1.48939,1,0.935809,1,3,0,3.84624,0.50164
-1.44344,0.992684,0.935809,2,3,0,1.65349,0.541686
-2.22553,0.955099,0.935809,1,3,0,2.41882,0.20742
-2.45719,0.996327,0.935809,2,3,0,2.48058,0.165209
-1.25206,0.42484,0.935809,2,3,0,3.19078,0.943696
-1.27672,0.993158,0.935809,1,3,0,1.28989,1.22127
-1.27672,0.635719,0.935809,1,1,0,1.88544,1.22127
-2.99612,0.432879,0.935809,1,1,0,3.03737,3.70716
-1.3267,1,0.935809,1,1,0,2.18389,1.39235
-1.26454,1,0.935809,1,1,0,1.3074,1.16037
-1.9555,0.749227,0.935809,1,3,0,2.66485,0.275602
-1.2758,0.975661,0.935809,1,3,0,2.12826,0.810351
-1.25515,0.998915,0.935809,2,3,0,1.28609,0.911967
-1.2571,0.981396,0.935809,2,3,0,1.37796,0.8972
-1.3303,0.981389,0.935809,1,3,0,1.36686,1.40248
-2.21107,0.659537,0.935809,1,1,0,2.24053,2.79763
-1.75446,1,0.935809,1,1,0,2.19714,2.18533
-1.25181,1,0.935809,1,3,0,1.65664,0.947212
-1.25181,0.168998,0.935809,1,1,0,3.09526,0.947212
-1.29508,0.988845,0.935809,1,3,0,1.31152,1.29312
-2.25413,0.65224,0.935809,1,1,0,2.26716,2.85095
-2.37815,0.912359,0.935809,1,1,0,2.9484,3.0017
-2.37815,0.0714806,0.935809,1,1,0,4.04042,3.0017
-1.51101,0.998664,0.935809,2,3,0,2.31147,0.484807
-1.66842,0.982417,0.935809,1,1,0,1.67307,0.388008
-1.85442,0.983434,0.935809,1,1,0,1.86355,0.308946
-1.93604,0.993908,0.935809,1,1,0,1.98129,0.281615
-1.85652,0.965695,0.935809,2,3,0,2.85009,0.308195
-2.02038,0.988235,0.935809,1,1,0,2.04347,0.256783
-1.71259,1,0.935809,1,1,0,1.99529,0.366607
-2.28547,0.853181,0.935809,1,3,0,2.31614,0.195335
-1.62705,0.33675,0.935809,2,3,0,3.67584,1.98955
-1.62705,0.063218,0.935809,1,1,0,3.07484,1.98955
-2.1982,0.713535,0.935809,1,1,0,2.39596,2.78157
-1.27748,1,0.935809,2,3,0,1.81663,1.22457
-1.28391,0.99933,0.935809,2,3,0,1.29078,1.25136
-1.74792,0.836026,0.935809,1,1,0,1.74897,2.17567
-2.8042,0.479947,0.935809,1,1,0,3.18737,3.49457
-2.25257,0.680929,0.935809,3,7,0,3.05456,2.84904
-1.29429,1,0.935809,1,1,0,1.83912,1.29033
-1.32272,0.996826,0.935809,2,3,0,1.33234,1.38095
-1.44457,0.9549,0.935809,1,1,0,1.4583,1.66621
-1.44457,0.105183,0.935809,1,1,0,2.78983,1.66621
-1.29398,1,0.935809,1,1,0,1.39423,1.28923
-1.5189,0.919951,0.935809,1,1,0,1.52196,1.80652
-1.33157,1,0.935809,2,3,0,1.46513,0.680861
-1.37358,0.989374,0.935809,2,3,0,1.47,0.618646
-1.3449,1,0.935809,1,1,0,1.37927,0.659219
-1.56116,0.964006,0.935809,1,3,0,1.56789,0.449656
-3.11974,0.831645,0.935809,1,3,0,3.93194,0.0902135
-2.46263,0.998649,0.935809,2,3,0,3.33703,0.164351
-2.26986,1,0.935809,1,1,0,2.48761,0.198395
-1.54418,0.914383,0.935809,1,3,0,2.31353,0.461013
-1.88171,0.971204,0.935809,2,3,0,2.04571,0.299404
-3.00988,0.720117,0.935809,1,3,0,3.26878,0.0994106
-3.19395,0.995699,0.935809,1,1,0,3.24985,0.0845317
-2.90634,1,0.935809,1,1,0,3.2136,0.109041
-2.08976,0.781304,0.935809,1,3,0,2.9326,0.238524
-1.96509,1,0.935809,1,1,0,2.12063,0.272703
-2.71931,0.783515,0.935809,1,3,0,2.77742,0.129221
-3.23509,0.985581,0.935809,1,1,0,3.23511,0.0815512
-3.05706,1,0.935809,1,1,0,3.28978,0.0953397
-3.08567,0.999319,0.935809,1,1,0,3.20173,0.0929609
-3.32503,0.994859,0.935809,1,1,0,3.36631,0.0754261
-1.87325,1,0.935809,2,3,0,3.27168,0.302315
-3.50282,0.917739,0.935809,2,3,0,3.51929,0.0647303
-3.63498,0.999316,0.935809,2,3,0,3.71675,0.0578357
-1.36312,0.963517,0.935809,2,7,0,3.42265,0.632634
-1.30003,1,0.935809,1,1,0,1.35231,0.743094
-1.33725,0.981742,0.935809,1,3,0,1.45451,1.42155
-1.33725,0.306677,0.935809,1,1,0,2.33737,1.42155
-1.2785,1,0.935809,1,1,0,1.32071,1.22902
-1.70568,0.929613,0.935809,2,3,0,1.70595,2.11235
-2.19803,0.144745,0.935809,2,3,0,4.41801,0.213282
-1.25183,0.975342,0.935809,1,3,0,2.77709,1.05506
-1.41511,0.97264,0.935809,2,3,0,1.41976,0.57004
-1.96191,0.926467,0.935809,1,3,0,2.28448,2.4763
-1.353,1,0.935809,1,1,0,1.71041,1.46265
-1.31034,0.962427,0.935809,1,3,0,1.50881,0.720596
-1.87,0.958052,0.935809,1,3,0,2.03247,0.303446
-1.51776,0.950863,0.935809,1,3,0,2.68818,1.80448
-1.29135,0.860527,0.935809,2,3,0,1.97894,0.764344
-1.25426,0.977578,0.935809,2,3,0,1.46855,0.919708
-1.34568,0.982274,0.935809,1,3,0,1.36188,0.658014
-1.31818,1,0.935809,1,1,0,1.34759,0.705036
-1.56274,0.954979,0.935809,1,3,0,1.74028,1.88313
-1.56274,0.0766777,0.935809,1,1,0,2.96292,1.88313
-1.5862,0.988781,0.935809,1,1,0,1.70899,1.92268
-1.82779,0.602936,0.935809,1,3,0,3.13235,0.318686
-1.51209,0.955572,0.935809,1,3,0,1.79685,0.483999
-1.25243,0.987926,0.935809,2,3,0,1.67264,1.06363
-1.25243,0.42787,0.935809,2,3,0,2.67229,1.06363
-2.96172,0.704239,0.935809,2,3,0,2.96938,3.66941
-2.62594,0.950535,0.935809,2,7,0,3.22472,0.140876
-3.11937,0.984921,0.935809,1,1,0,3.1195,0.0902429
-2.22068,0.755271,0.935809,1,3,0,3.167,0.20844
-1.25957,0.983007,0.935809,1,3,0,2.65356,0.881324
-3.21975,0.559677,0.935809,1,3,0,5.45814,0.0826489
-1.34292,0.983406,0.935809,1,3,0,4.47716,0.662305
-1.35706,0.997671,0.935809,1,1,0,1.37077,0.641139
-1.37248,0.991604,0.935809,2,3,0,1.4895,0.62008
-2.44162,0.842299,0.935809,1,3,0,2.92779,0.167696
-2.26636,1,0.935809,1,1,0,2.47181,0.199091
-2.51268,0.996266,0.935809,2,3,0,2.53427,0.156696
-1.26765,0.969512,0.935809,1,3,0,3.5631,1.17758
-1.41384,0.967167,0.935809,1,3,0,1.41385,1.60287
-1.27063,1,0.935809,2,3,0,1.40471,0.829138
-1.29743,0.993402,0.935809,2,3,0,1.33459,0.749219
-1.31387,0.996958,0.935809,1,1,0,1.31956,0.713444
-1.25388,0.982565,0.935809,2,3,0,1.43295,1.08087
-1.37288,0.980122,0.935809,2,3,0,1.37536,0.61956
-1.40445,0.998402,0.935809,2,3,0,1.41805,0.581615
-1.47927,0.989635,0.935809,1,1,0,1.48762,0.509929
-1.58918,0.986834,0.935809,1,1,0,1.59828,0.431986
-1.52249,0.76862,0.935809,2,3,0,3.26422,0.476311
-1.86348,0.928063,0.935809,1,3,0,1.86876,0.305728
-1.89231,0.99781,0.935809,1,1,0,1.95682,0.295809
-2.05575,0.952686,0.935809,2,3,0,2.97859,0.247253
-1.78194,0.972604,0.935809,2,3,0,2.87113,0.336553
-1.87155,0.992755,0.935809,1,1,0,1.90929,0.302905
-1.96533,0.997725,0.935809,2,3,0,2.00791,0.272631
-1.34896,1,0.935809,1,3,0,2.02899,0.653014
-1.25222,0.978113,0.935809,2,3,0,1.55103,0.941546
-1.25011,0.993946,0.935809,2,3,0,1.2946,0.986895
-1.34147,0.937343,0.935809,2,3,0,1.64972,1.43282
-2.30529,0.623799,0.935809,1,1,0,2.34635,2.91363
-1.4974,1,0.935809,2,3,0,1.98465,1.76746
-1.5189,0.990336,0.935809,1,1,0,1.61095,1.80652
-1.5189,0.107226,0.935809,1,1,0,2.82473,1.80652
-1.89926,0.820172,0.935809,1,1,0,2.00985,2.3912
-2.72125,0.553179,0.935809,1,1,0,3.18017,3.4011
-1.40886,1,0.935809,1,1,0,2.10123,1.59221
-1.42759,0.992395,0.935809,1,1,0,1.48134,1.6317
-1.29174,1,0.935809,1,1,0,1.38288,1.28113
-1.60199,0.8891,0.935809,1,1,0,1.60423,1.94881
-1.62834,0.986962,0.935809,1,1,0,1.77052,1.99162
-1.63575,0.996266,0.935809,1,1,0,1.79114,2.00349
-2.19731,0.71671,0.935809,1,1,0,2.39987,2.78047
-1.25921,1,0.935809,1,3,0,1.99035,0.883452
-1.26321,0.976117,0.935809,2,3,0,1.42367,0.861586
-1.26321,0.82424,0.935809,1,3,0,2.32674,0.861586
-1.97109,0.913467,0.935809,2,7,0,2.35523,0.270914
-1.96243,1,0.935809,1,1,0,2.0502,0.273503
-2.16325,0.995781,0.935809,2,3,0,2.18343,0.220997
-2.44018,0.995391,0.935809,2,3,0,2.45337,0.167928
-1.29967,0.33847,0.935809,2,3,0,3.5245,1.30899
-1.29967,0.83165,0.935809,1,1,0,1.57771,1.30899
-1.25228,0.998076,0.935809,1,3,0,1.30803,0.940819
-2.19192,0.829379,0.935809,1,3,0,2.21294,2.77372
-1.36798,1,0.935809,1,1,0,1.83323,1.49955
-1.84116,0.805646,0.935809,1,1,0,1.87393,2.31031
-3.60022,0.242251,0.935809,1,1,0,4.2961,4.35045
-1.78473,1,0.935809,1,1,0,2.81351,2.22962
-1.78473,3.25212e-05,0.935809,1,1,0,4.51696,2.22962
-1.29923,0.966437,0.935809,1,3,0,1.87757,0.744954
-1.29373,0.995716,0.935809,2,3,0,1.35823,0.758287
-1.88997,0.936379,0.935809,1,3,0,2.10009,0.296598
-1.38981,0.979034,0.935809,1,3,0,1.89605,0.59847
-1.25707,1,0.935809,1,3,0,1.38614,0.897352
-1.98295,0.828324,0.935809,1,3,0,2.41933,0.267418
-1.7704,0.994573,0.935809,2,3,0,2.22602,0.341284
-1.37216,0.977536,0.935809,1,3,0,1.7576,0.620505
-1.92209,0.928448,0.935809,1,3,0,2.1775,2.42245
-1.32393,1,0.935809,1,1,0,1.67519,1.38443
-1.25004,1,0.935809,1,3,0,1.31713,0.991655
-1.25015,0.999975,0.935809,1,1,0,1.25015,0.984836
-1.26509,0.997474,0.935809,2,3,0,1.26893,0.852567
-1.39396,0.969925,0.935809,1,3,0,1.45765,1.55959
-1.39396,0.281194,0.935809,1,1,0,2.38011,1.55959
-1.39396,0.361868,0.935809,1,1,0,2.25057,1.55959
-1.75969,0.449305,0.935809,2,3,0,2.61395,0.345771
-2.28093,0.868521,0.935809,1,3,0,2.29678,0.196219
-1.27903,0.861015,0.935809,2,3,0,2.80141,0.799688
-1.39596,0.98233,0.935809,2,3,0,1.44609,0.591249
-1.38585,0.994461,0.935809,2,3,0,2.24473,0.603238
-1.26026,1,0.935809,1,3,0,1.37806,0.877274
-1.25,1,0.935809,2,3,0,1.25951,1.00179
-3.34702,0.411011,0.935809,1,1,0,3.36172,4.08492
-1.30362,1,0.935809,1,1,0,2.33364,1.32218
-1.35487,0.982213,0.935809,1,1,0,1.36566,1.46736
-1.35487,0.151053,0.935809,2,3,0,4.14777,1.46736
-1.25411,0.998984,0.935809,2,3,0,1.37348,0.921094
-3.19788,0.185102,0.935809,2,3,0,5.49749,0.084242
-1.72295,0.995308,0.935809,1,3,0,3.68174,0.361861
-1.55477,0.994165,0.935809,2,3,0,1.90474,0.45387
-1.25108,0.985326,0.935809,1,3,0,1.61643,0.959048
-1.60387,0.926878,0.935809,1,3,0,1.63638,1.9519
-1.5997,1,0.935809,1,1,0,1.7429,1.94505
-1.34033,1,0.935809,2,3,0,1.51073,1.42979
-1.25018,0.956826,0.935809,2,3,0,1.51013,1.01723
-1.29394,0.989753,0.935809,1,3,0,1.29902,1.28908
-1.2854,1,0.935809,1,1,0,1.30026,1.25723
-1.27682,0.987165,0.935809,1,3,0,1.35075,0.80689
-1.25505,0.983535,0.935809,2,3,0,1.46716,0.912745
-1.38639,0.975387,0.935809,1,3,0,1.41478,0.602582
-1.50226,0.958268,0.935809,1,3,0,1.79532,1.77639
-2.44281,0.57886,0.935809,1,1,0,2.59799,3.07878
-1.26705,1,0.935809,1,1,0,1.95103,1.17441
-1.26705,0.640795,0.935809,1,1,0,1.90043,1.17441
-1.43141,0.932841,0.935809,1,3,0,1.6029,0.553329
-3.22026,0.753945,0.935809,1,3,0,4.49832,0.0826122
-3.55708,0.993735,0.935809,1,1,0,3.57802,0.0617993
-3.34772,1,0.935809,1,1,0,3.60714,0.0739609
-3.05257,1,0.935809,2,3,0,3.36862,0.0957194
-2.78257,1,0.935809,1,1,0,3.07358,0.121955
-2.31684,1,0.935809,1,1,0,2.76324,0.189358
-2.16872,1,0.935809,1,1,0,2.35122,0.219761
-1.83614,1,0.935809,1,1,0,2.1459,0.315584
-1.43109,0.957951,0.935809,1,3,0,1.81467,0.55365
-1.66998,0.923548,0.935809,2,3,0,2.28265,0.387221
-1.58648,0.992648,0.935809,2,3,0,1.89297,0.433638
-1.54074,0.95761,0.935809,2,3,0,2.29139,0.463377
-1.84657,0.972764,0.935809,2,3,0,2.01571,0.311771
-1.98575,0.996597,0.935809,2,3,0,2.01413,0.266603
-1.60961,0.93705,0.935809,1,3,0,1.95495,0.419862
-1.59001,1,0.935809,1,1,0,1.65124,0.431487
-1.26049,0.997534,0.935809,1,3,0,1.62772,0.875964
-1.6305,0.889097,0.935809,2,3,0,1.99704,0.408061
-1.8295,0.981475,0.935809,1,1,0,1.83515,0.318047
-2.0699,0.982675,0.935809,1,1,0,2.07816,0.243572
-2.33462,0.985407,0.935809,1,1,0,2.34712,0.186072
-2.15032,1,0.935809,1,1,0,2.35659,0.223958
-1.73104,0.977169,0.935809,2,3,0,2.8936,0.358218
-1.25927,0.982875,0.935809,1,3,0,1.98272,1.12678
-1.32211,0.966471,0.935809,2,3,0,1.44758,0.69765
-2.4606,0.802681,0.935809,1,3,0,3.10546,0.164671
-2.10444,1,0.935809,1,1,0,2.44471,0.234882
-1.28198,0.956455,0.935809,1,3,0,2.35814,0.790508
-1.31744,0.993232,0.935809,1,1,0,1.31824,0.706459
-1.71271,0.957704,0.935809,2,3,0,1.77237,0.366553
-1.31771,0.970134,0.935809,1,3,0,2.10764,1.3662
-1.25146,0.909859,0.935809,2,3,0,1.62716,1.04918
-1.32182,0.979953,0.935809,1,3,0,1.36191,0.698191
-1.48725,0.962095,0.935809,1,3,0,1.66721,1.74864
-1.34827,1,0.935809,1,1,0,1.45456,1.45058
-1.25139,0.999426,0.935809,1,3,0,1.34832,0.953623
-1.38659,0.969033,0.935809,1,3,0,1.41299,1.543
-1.53074,0.829965,0.935809,1,3,0,2.05409,0.470379
-2.8472,0.953411,0.935809,1,3,0,3.41813,0.115008
-2.99193,0.996038,0.935809,1,1,0,3.05711,0.101011
-2.48721,0.997951,0.935809,2,3,0,3.26425,0.160538
-2.66531,0.997766,0.935809,2,3,0,2.71028,0.135819
-1.35963,0.946052,0.935809,1,3,0,3.20844,0.637496
-2.13651,0.962804,0.935809,1,3,0,2.39053,0.227177
-1.32695,0.994428,0.935809,2,3,0,2.31862,0.688897
-1.29324,1,0.935809,1,1,0,1.32293,0.759508
-1.34884,0.989935,0.935809,1,1,0,1.34921,0.6532
-1.65492,0.946349,0.935809,1,3,0,1.88725,2.03388
-1.65492,0.621765,0.935809,1,1,0,2.18551,2.03388
-1.32559,1,0.935809,2,3,0,1.53208,1.38919
-1.34071,0.948851,0.935809,1,3,0,1.53908,0.665796
-1.43926,0.984658,0.935809,1,1,0,1.43984,0.545674
-1.26252,1,0.935809,2,3,0,1.39555,1.14829
-1.44756,0.930856,0.935809,1,3,0,1.61781,0.537822
-1.61627,0.979254,0.935809,1,1,0,1.61719,0.416039
-1.60578,1,0.935809,1,1,0,1.66389,0.422093
-1.65592,0.994829,0.935809,1,1,0,1.69105,0.394437
-1.39677,0.974879,0.935809,1,3,0,1.62701,0.590311
-1.25016,1,0.935809,2,3,0,1.37477,0.984242
-1.31434,0.984978,0.935809,1,3,0,1.33387,0.712505
-1.66746,0.960819,0.935809,1,3,0,1.72211,0.388495
-1.89239,0.980209,0.935809,1,1,0,1.89668,0.295785
-3.33915,0.928865,0.935809,2,3,0,3.37378,0.0745107
-2.51694,0.999292,0.935809,2,3,0,3.51059,0.156064
-5.51011,0.954844,0.935809,3,7,0,5.77038,0.0123295
-3.90585,0.755121,0.935809,1,3,0,5.90716,0.0460209
-2.44484,0.99722,0.935809,2,3,0,4.50486,0.167178
-2.29439,0.995064,0.935809,2,3,0,2.8273,0.193612
-3.52193,0.666036,0.935809,1,3,0,3.77396,0.0636815
-2.37387,0.692519,0.935809,1,3,0,3.6714,0.17906
-1.98151,1,0.935809,1,1,0,2.35068,0.267839
-1.98151,0.829906,0.935809,1,3,0,2.61154,0.267839
-1.82377,1,0.935809,1,1,0,1.99235,0.320197
-3.62958,0.955564,0.935809,1,3,0,4.56549,0.0581014
-1.86456,1,0.935809,2,3,0,3.53521,0.30535
-1.37783,0.983866,0.935809,1,3,0,1.8705,0.613202
-1.84656,0.953375,0.935809,2,3,0,1.92225,2.31792
-1.29856,0.969587,0.935809,1,3,0,1.92263,0.746537
-1.6495,0.959848,0.935809,2,3,0,1.70205,0.397805
-2.10034,0.923425,0.935809,1,3,0,2.7963,2.65775
-2.10034,0.0218185,0.935809,2,3,0,7.07895,2.65775
-1.28264,1,0.935809,1,1,0,1.76329,1.24627
-1.32317,0.99558,0.935809,2,3,0,1.32814,1.38224
-1.25013,0.883873,0.935809,2,3,0,1.70859,1.01465
-1.29453,0.988568,0.935809,2,3,0,1.32749,1.29117
-1.26187,1,0.935809,1,1,0,1.28507,1.1442
-1.25077,0.775178,0.935809,2,3,0,2.11544,0.965311
-1.27365,0.99395,0.935809,1,3,0,1.28239,1.20733
-1.71769,0.928277,0.935809,2,3,0,1.7177,2.13052
